UID,CompanyName,CompanyAddress,CompanyCity,CompanyState,CompanyZip,JobsReported,NAICSCode,BusinessType,WEB ADDRESS,FIRSTNAME,LASTNAME,TITLE,EMAIL,DnBADDRESS,DnBCITY,DnBMAILINGSTATE,DnBZIP,DnBAREA_CODE_AND_PHONE,DnBFAX,DnBSALES_VOLUME,DnBNUMBER_OF_EMPLOYEES,DnBPUBLIC_PRIVATE_COMPANY
31,MCKINNEY & ASSOCIATES INC,101 W Edison Ave Ste 205,Appleton,WI,54915-1390,8,711310,Corporation,,,,,,,,,,,,,,
32,5 STAR STATIONS; INC.,1243 Fox River Ct.,MUKWONAGO,WI,53149-9539,41,447110,Subchapter S Corporation,,,,,,,,,,,,,,
33,LEW GROUP INC.,10627 N Bay Shore Dr,Sister Bay,WI,54234-9153,7,722511,Corporation,,,,,,,,,,,,,,
34,LS INDUSTRIES LLC,2801 N 7TH ST,WAUSAU,WI,54403-3222,21,531311,Limited  Liability Company(LLC),,,,,,,,,,,,,,
35,HARDWOOD FLOORS OF HILLSBORO; LLC,E18054 Pine Hill road,HILLSBORO,WI,54634,18,423310,Subchapter S Corporation,,,,,,,,,,,,,,
36,MCKINNEY & ASSOCIATES INC.,101 W. EDISON AVE Suite 205,APPLETON,WI,54915-1303,8,711310,Corporation,,,,,,,,,,,,,,
37,RACINE RIVERSIDE MARINE,950 ERIE ST,RACINE,WI,53402-5116,21,441222,Subchapter S Corporation,,,,,,,,,,,,,,
38,RONALD MCDONALD HOUSE CHARITIES OF MADISON INC.,2716 Marshall Ct,Madison,WI,53705-2256,26,624221,Non-Profit Organization,,,,,,,,,,,,,,
39,RESOP DDS AND SCHRUBBE DDS LLC,17600 W Capitol Dr,Brookfield,WI,53045-2003,14,621210,Corporation,,,,,,,,,,,,,,
40,TRA VIGNE LLC,N2271 Willow Way W,La Crosse,WI,54601-2443,38,722511,Limited  Liability Company(LLC),,,,,,,,,,,,,,
41,THE SEGAL LAW FIRM LC,810 Kanawha Blvd E,Charleston,WV,25301-2807,12,541110,Subchapter S Corporation,,,,,,,,,,,,,,
42,AVENUE EATS LLC,1201 Valley View Ave,Wheeling,WV,26003-1475,20,722511,Limited  Liability Company(LLC),,,,,,,,,,,,,,
43,DR TIMOTHY D SINES,1193 Pineview Drive,MORGANTOWN,WV,26505-0481,15,621210,Corporation,,,,,,,,,,,,,,
44,CHRISTINA NOLTE,3018  DOGWOOD RD,BRIDGEPORT,WV,26330-9395,9,621399,Sole Proprietorship,,,,,,,,,,,,,,
45,IT MINDSHARE LLC,200 Hart Field Rd,Morgantown,WV,26505-3762,8,541990,Limited  Liability Company(LLC),,,,,,,,,,,,,,
46,PHILLIPS PHARMACY; INC,329 Second Street,St Marys,WV,26170-1005,10,446110,Corporation,,,,,,,,,,,,,,
47,HONEST FRED'S FLOORING,423 COLUMBIA AVE,WILLIAMSTOWN,WV,26187-1122,15,444190,Corporation,,,,,,,,,,,,,,
48,CHRISTINA NOLTE,3018 Dogwood Rd,Bridgeport,WV,26330-9397,9,621399,Sole Proprietorship,,,,,,,,,,,,,,
49,GATEWAY INDUSTRIES; INC.,787 Edgar Avenue,RONCEVERTE,WV,24970-1488,53,624310,Corporation,,,,,,,,,,,,,,
50,WATTERS PAINTING & DRYWALL; INC.,100 E CHESTNUT ST,ELEANOR,WV,25070-1439,10,238320,Corporation,,,,,,,,,,,,,,
51,WATTERS PAINTING AND DRYWALL INC,100 W Chestnut Street,Eleanor,WV,25070,9,238320,Corporation,,,,,,,,,,,,,,
52,ALL QUALITY  LLC,1366 Limestone Rd,Charleston,WV,25312-6569,16,238990,Limited  Liability Company(LLC),,,,,,,,,,,,,,
53,RBS HEALTHCARE; LLC,2200 Grand Central Ave Ste 110,VIENNA,WV,26105-1300,30,621610,Limited  Liability Company(LLC),,,,,,,,,,,,,,
54,KOZICKI HUGHEST TICKERHOOF PLLC,32 20TH ST Ste 300,WHEELING,WV,26003-3746,10,541211,Limited  Liability Company(LLC),,,,,,,,,,,,,,
55,SHIRT BOX PIZZA LLC,141 Middletown Cir,Fairmont,WV,26554-2015,61,722513,Limited  Liability Company(LLC),,,,,,,,,,,,,,
56,PLAZA MAYA INC,3112 BCHESTERFIELD AVE SE,CHARLESTON,WV,25304-1214,5,722511,Subchapter S Corporation,,,,,,,,,,,,,,
57,REED BROTHERS LIMITED PARTNERSHIP,1314 VIRGINIA ST E,CHARLESTON,WV,25301-3012,10,213111,Limited Liability Partnership,,,,,,,,,,,,,,
58,AHEAD ETS LLC,5312 Tabler Station Rd,Inwood,WV,25428-4538,16,441120,Limited  Liability Company(LLC),,,,,,,,,,,,,,
59,MUNICIPAL MUTUAL INSURANCE COMPANY OF WEST VIRGINIA,950 MAIN ST,WELLSBURG,WV,26070,13,524126,Corporation,,,,,,,,,,,,,,
60,RISING STAR TECH CONSULTING LLC,126 E Burke St # 15,Martinsburg,WV,25401-4302,13,541512,Limited  Liability Company(LLC),,,,,,,,,,,,,,
61,WONDER COSMETICS LLC,30 N Gould St,Sheridan,WY,82801-6317,10,453998,Partnership,,,,,,,,,,,,,,
62,D AND DESIGN GROUP LLC,1620 Central Ave,Cheyenne,WY,82001-4557,15,541410,Limited  Liability Company(LLC),,,,,,,,,,,,,,
63,JACKSON PAINT AND GLASS; INC.,205 SCOTT LN,JACKSON,WY,83001-8064,10,811122,Corporation,,,,,,,,,,,,,,
64,RIDGELINE OPERATIONS LLC,1675 High School Rd,Jackson,WY,83001-8868,11,238990,Subchapter S Corporation,,,,,,,,,,,,,,
65,JADE'S HEATING AND PLUMBING,555 Deer Drive,jackson,WY,83001,10,238220,Limited  Liability Company(LLC),,,,,,,,,,,,,,
66,M&T UNDERGROUND INC,1116 Robertson Ave,Worland,WY,82401-2826,15,238990,Corporation,,,,,,,,,,,,,,
67,JEDEDIAH HOLDINGS LLC,1250 Airport Road,JACKSON,WY,83001-3857,26,722513,Limited  Liability Company(LLC),,,,,,,,,,,,,,
68,RED FORK FARMSTEAD; LLC,807 Barnum Rd,Kaycee,WY,82639-9514,11,112410,Limited  Liability Company(LLC),,,,,,,,,,,,,,
69,ROCKY MOUNTAIN RECOVERY SYSTEMS INC,101 HASTINGS HORSESHOE,POWELL,WY,82435-8111,21,999990,Corporation,,,,,,,,,,,,,,
70,TOBIN & ASSOCIATES; P.C.,1820 DILLON AVE Suite 200A,CHEYENNE,WY,82001-4226,9,541310,Corporation,,,,,,,,,,,,,,
71,INDUSTRIAL CONSTRUCTION COMPANY; LLC,1670 high School Road,JACKSON,WY,83001-8868,10,236210,Limited  Liability Company(LLC),,,,,,,,,,,,,,
72,SYNAGILE CORPORATION,3465 N Pines Way; suite 104; PMB 218,WILSON,WY,83014,9,541710,Corporation,,,,,,,,,,,,,,
73,PLAZA LIQUOR LLC,832 W Broadway Ave,Jackson,WY,83001-8647,18,722511,Limited  Liability Company(LLC),,,,,,,,,,,,,,
74,KELLY CODY WY HOTEL VENTURES LLLP,232 W Yellowstone Ave,Cody,WY,82414-8724,20,721110,Partnership,,,,,,,,,,,,,,
75,TETON SIMULATION SOFTWARE,1938 Harney St,Laramie,WY,82072-3037,9,511210,Corporation,,,,,,,,,,,,,,
76,GOSHEN IRRIGATION DISTRICT,2912 WEST E STREET,TORRINGTON,WY,82240,10,926130,Corporation,,,,,,,,,,,,,,
77,EXPLORER VENTURES (USA) LTD,3211 Energy Ln Ste 201,Casper,WY,82604-2963,12,561520,Subchapter S Corporation,,,,,,,,,,,,,,
78,JONAH GAS COMPANY,441 Landmark Dr Ste 100,Casper,WY,82609-4564,9,221210,Limited  Liability Company(LLC),,,,,,,,,,,,,,
79,EXPLORER VENTURES (USA) LTD,3211 ENERGY LN Suite 201,CASPER,WY,82604-2939,11,523910,Subchapter S Corporation,,,,,,,,,,,,,,
80,ALL CREATURES VETERINARY HOSPITAL; PC,4220 E. Yellowstone,EVANSVILLE,WY,82636-0003,15,541940,Corporation,,,,,,,,,,,,,,
